Data Medicao;PRECIPITACAO;TEMPERATURA_MAXIMA_MEDIA;TEMPERATURA_MEDIA;TEMPERATURA_MINIMA_MEDIA
1/31/1992;171,6;24,758065;20,575484;18,003226
2/29/1992;313,8;24,444828;19,995172;17,131034
3/31/1992;135,8;25,706452;20,831613;17,577419
4/30/1992;297,9;26,386667;21,066667;17,55
5/31/1992;4,5;26,374194;20,685806;16,112903
6/30/1992;0;24,566667;18,460667;13,46
7/31/1992;0;24,696774;18,667097;13,658065
8/31/1992;19,5;26,287097;20,032258;15,1
9/30/1992;95,4;25,606667;20,267333;16,713333
10/31/1992;202,8;26,370968;20,918065;17,53871
11/30/1992;339;25,693333;20,431333;17,413333
12/31/1992;256,7;24,783871;20,087097;17,219355
1/31/1993;114,6;27,045161;21,670968;17,351613
2/28/1993;258,1;25,575;20,52;17,232143
3/31/1993;75,1;28,180645;22,450323;17,754839
4/30/1993;93,7;26,886667;21,460667;17,246667
5/31/1993;24,1;25,222581;19,314839;14,845161
6/30/1993;6,7;24,873333;18,689333;13,983333
7/31/1993;0;26,209677;19,568387;13,922581
8/31/1993;37,1;26,848387;20,585161;15,090323
9/30/1993;75,1;28,55;22,35037;17,653333
10/31/1993;75,1;27,503226;22,135484;17,903226
11/30/1993;225;27,576667;22,088667;18,393333
12/31/1993;296,5;25,674194;21,032903;17,970968
1/31/1994;166,8;25,893548;21,229677;17,870968
2/28/1994;134,8;27,175;21,898571;17,875
3/31/1994;324,4;25,603226;20,931613;17,770968
4/30/1994;143,1;26,2;21,19;17,676667
5/31/1994;69,4;26,13871;20,603871;16,4
6/30/1994;12;24,36;18,483333;13,593333
7/31/1994;4;24,293548;18,203226;13,222581
8/31/1994;0;27,051613;20,54129;14,709677
9/30/1994;0;29,496667;23,224667;17,676667
10/31/1994;50;29,958065;23,668387;18,145161
11/30/1994;268,9;27,306667;22,190667;18,383333
12/31/1994;194;26,319355;21,387097;18,235484
1/31/1995;204,6;27,032258;21,969032;18,235484
2/28/1995;158,3;26,603571;21,580741;18,057143
3/31/1995;253,1;27,451613;22,049677;18,112903
4/30/1995;140,3;26,096667;21,093333;17,746667
5/31/1995;38,4;25,564516;20,368387;16,387097
6/30/1995;0;24,84;18,74;13,613333
7/31/1995;0,1;25,319355;19,249032;14,367742
8/31/1995;0;27,587097;21,409032;15,841935
9/30/1995;0,6;28,973333;22,44;15,896667
10/31/1995;144,3;29,090323;22,851613;18,206452
11/30/1995;191,9;26,173333;21,305333;17,72
12/31/1995;244,2;25,990323;21,243226;18,229032
1/31/1996;84,7;27,354839;22,389032;18,454839
2/29/1996;91,1;28,148276;22,60069;18,489655
3/31/1996;204;27,048387;21,8;17,954839
4/30/1996;88,7;26;21,061333;17,34
5/31/1996;16,6;25,880645;20,309032;15,748387
6/30/1996;0;24,56;18,317333;13,22
7/31/1996;0;25,441935;19,045161;13,248387
8/31/1996;38,2;26,758065;20,640645;15,354839
9/30/1996;24,8;28,25;22,168;16,966667
10/31/1996;107,3;27,925806;22,491613;18,322581
11/30/1996;250,9;25,223333;20,986;17,936667
12/31/1996;250,8;27,054839;21,602581;17,96129
1/31/1997;315,4;25,183871;20,636129;17,73871
2/28/1997;68,9;26,892857;21,817857;18,064286
3/31/1997;371,9;24,712903;20,295484;17,454839
4/30/1997;135,9;25,11;20,182759;17,11
5/31/1997;60,7;24,041935;18,800645;14,796774
6/30/1997;23,9;24,186667;18,512;13,856667
7/31/1997;0;24,376667;18,48;13,603226
8/31/1997;0;26,735484;20,454839;14,709677
9/30/1997;85,2;29,556667;23,418667;18,433333
10/31/1997;104,3;29,512903;23,610323;18,535484
11/30/1997;188,5;28,29;22,911333;19,016667
12/31/1997;157,3;27,022581;21,949677;18,603226
1/31/1998;246,3;27,396774;22,299355;18,716129
2/28/1998;128,1;28,242857;23,052143;19,210714
3/31/1998;263,1;28,177419;22,981935;19,016129
4/30/1998;67;28,416667;23,084667;19,163333
5/31/1998;38,8;26,019355;20,552903;16,303226
6/30/1998;7,4;25,57;19,483333;14,33
7/31/1998;0;26,141935;19,844516;14,029032
8/31/1998;9,7;28,722581;22,444516;16,877419
9/30/1998;20,7;30,593333;23,984;18,156667
10/31/1998;125,8;28,377419;22,690323;18,545161
11/30/1998;300,5;26,436667;21,247333;17,756667
12/31/1998;167,8;26,735484;21,590323;18,187097
1/31/1999;70,8;27,183871;22,078065;18,33871
2/28/1999;108,6;27,839286;22,529286;18,532143
3/31/1999;228,1;26,829032;21,842581;18,203226
4/30/1999;60,9;27,4;21,648;17,143333
5/31/1999;8,9;26,23871;20,208387;15,141935
6/30/1999;3,3;26,396667;20,141333;14,446667
7/31/1999;0;25,748387;19,885161;14,748387
8/31/1999;0;26,483871;19,899355;14,029032
9/30/1999;59,9;28,656667;22,436;17,286667
10/31/1999;200,1;27,493548;22,233548;17,987097
11/30/1999;289,8;26,163333;20,998667;17,496667
12/31/1999;206,3;25,741935;21,066452;17,806452
1/31/2000;130;26,545161;21,614194;18,151613
2/29/2000;168,3;26,672414;21,56;17,810345
3/31/2000;229,6;26,006452;21,314839;18,067742
4/30/2000;98,8;26,476667;21,133333;16,99
5/31/2000;0;26,458065;20,374194;15,016129
6/30/2000;0;25,68;19,254;13,54
7/31/2000;0,2;25,574194;18,994194;13,596774
8/31/2000;56,3;27,716129;21,50129;15,903226
9/30/2000;105,3;26,956667;21,299333;17,016667
10/31/2000;201,8;29,23871;23,277419;18,422581
11/30/2000;231,7;25,526667;20,743333;17,693333
12/31/2000;155,3;26,745161;21,556774;18,354839
